hashtags;timestamp;type;users_in_photo;user_id;likes
[u'veladraga', u'exploring', u'outdoor', u'nature', u'adventurers', u'naturelovers', u'croatia', u'rock', u'nortface', u'climbing', u'darling', u'man'];1447707037;image;1;1379840654;13
[u'utahgram', u'rockclimbing', u'getoutstayout', u'climbing_pictures_of_instagram', u'tradclimbing', u'moab', u'crackclimbing', u'wanderthewest', u'utahisrad', u'climblikeagirl', u'climbing', u'tradisrad', u'escalada'];1447707027;image;0;346405380;45
[u'climbing', u'outonalimb', u'teamrootstoshoots', u'arborists', u'treeservices'];1447707022;image;0;1440050300;3
[u'boulder', u'nature', u'soul', u'wave', u'sea', u'climbing', u'ocean', u'friends'];1447707010;image;0;242003904;11
[u'ukraine', u'climbing'];1447706965;image;0;227317546;6
[u'mountain', u'alirezarajabi', u'photography', u'adventure', u'climbing', u'travel', u'mountainer'];1447706963;image;1;1492695413;15
[u'valokuvaus', u'expofilm', u'exploring', u'featurepalette', u'olympus', u'ladders', u'jklig', u'featureme', u'featuremeinstagood', u'climbing', u'getolympus', u'featuremeofh', u'jyv\xe4skyl\xe4', u'neverstopexploring', u'suomi', u'photographer', u'finland', u'roof', u'featuremeval', u'snowisblack', u'olympussuomi', u'olympusomd'];1447706961;image;1;1056903042;12
[u'climbing', u'training', u'tradclimbing', u'rockclimbing'];1447706903;image;1;30482758;15
[u'climbing', u'mcm', u'bouldering', u'mancrusheveryday', u'climbhard'];1447706899;image;1;428351031;13
[u'climbing', u'crimping', u'akupressure'];1447706880;image;0;2158953175;1
[u'mountains', u'art', u'skateboard', u'blackandwhite', u'nature', u'roadbike', u'outdoors', u'wildlife', u'snowboard', u'b', u'adventure', u'skateboarding', u'bones', u'yoga', u'healthyeating', u'landscape', u'climbing', u'surfing', u'cycling', u'artist', u'healthy', u'beach', u'yogi', u'outside', u'architecture', u'w', u'fitness', u'snowboarding', u'ski', u'cervelo'];1447706878;image;0;2173515638;69
[u'mountain', u'onthetop', u'sky', u'sign', u'\u0432\u0440\u0432\u0446\u0440\u043d\u043a\u0430\u043c\u0435\u043d', u'\u0458\u0430\u0431\u043b\u0430\u043d\u0438\u0446\u0430', u'climbing', u'\u0438\u043d\u0441\u0442\u0430\u0433\u0440\u0430\u043c\u045f\u0438\u0438', u'\u0432\u0435\u0432\u0447\u0430\u043d\u0438'];1447706844;image;0;394731962;5
[u'rockclimbing', u'naturelover', u'nature', u'makapuu', u'hawaiilife', u'ocean', u'oahu', u'volcano', u'climbing', u'venturehawaii', u'thegreatoutdoors'];1447706841;image;11;1448805104;19
[u'loves_world', u'rockclimbing', u'visitandorra', u'instagram', u'blackandwhite', u'igersspain', u'climbing_pictures_of_instagram', u'loves_united_europe', u'mountaineering', u'andorra_ig', u'sportphotography', u'igers', u'lovesport', u'climbing', u'pirineus', u'sport', u'escalada', u'loveclimbing', u'andorraworld', u'igersworld', u'igersandorra', u'instagramers', u'igerseurope', u'andorra', u'andorramola', u'doyouboulder', u'deporte', u'ig_europe', u'climb', u'picoftheday'];1447706831;image;0;1478060880;13
[u'art', u'hiking', u'wilderness', u'nature', u'tshirtdesign', u'trekking', u'watercolour', u'wearestillwild', u'design', u'adventure', u'wip', u'climbing'];1447706830;image;0;2219990721;13
[u'and', u'do', u'somthing', u'bolder', u'stuttgart', u'germany', u'waldau', u'have', u'fun', u'climbing'];1447706794;video;0;1170587086;3
[u'climbing'];1447706770;image;0;1605330372;7
[u'elchorro', u'beautiful', u'malaga', u'abseil', u'sun', u'justintime', u'goodtimes', u'instagood', u'dark', u'multipitch', u'sunset', u'climbing', u'climb', u'abseiling', u'friends'];1447706728;image;1;1786181520;6
[u'people', u'mountaineering', u'travelstoke', u'teamcanon', u'climbing', u'cold', u'hostel', u'southamerica', u'travel', u'adventurelife', u'british', u'outside', u'travelgram', u'bolivia', u'radlife', u'adventure'];1447706684;image;0;1301771863;124
[u'beautiful', u'mountains', u'outdoor', u'love', u'cabinporn', u'hiking', u'nature', u'instatravel', u'kosova', u'trees', u'walk', u'autumn', u'explore', u'adventure', u'mountainview', u'climbing', u'naturelovers', u'traveler', u'mountaineer', u'explorer', u'wilderness', u'camping', u'hike', u'travel', u'gopro', u'hammock', u'forest', u'climb', u'supercampers_ks', u'cabin'];1447706649;image;11;1821989456;70
[u'mountains', u'picofday', u'amazingview', u'hiking', u'nature', u'adventure', u'trekking', u'natureaddict', u'versilia', u'igers', u'climbing', u'rifugionelloconti', u'tuscanygram', u'landscape', u'alps', u'tuscanybuzz', u'motagna', u'landescapelovers', u'iphone6', u'panorama', u'bestplace', u'cloudyday', u'rifugio', u'sunday', u'italygram', u'travelgram', u'igerstoscana', u'alpiapuane', u'outdoors', u'iphone'];1447706649;image;4;202005531;45
[u'dirtbag', u'climbing', u'pbr', u'yosemite'];1447706577;image;0;192030691;5
[u'climbing', u'bouldering', u'bishop', u'vscocam'];1447706572;image;0;1780481;16
[u'motivation', u'fitfam', u'teddy', u'loveyourpath', u'backattack', u'focus', u'swoldier', u'carryabigstick', u'fitness', u'climbing', u'neversettle'];1447706532;image;0;227991894;6
